,아이디,맥주이름,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
82,BubbleTicks26(251),Goose Island Goose IPA,19-Oct-19,3.5,6,3,7,3,16
83,frankcolub(138),Goose Island Goose IPA,07-Sep-20,3.8,7,3,8,4,16
84,"cervmagpt(1,590)",Goose Island Goose IPA,08-Oct-19,3.1,5,5,5,5,11
85,"Cool_Bond(4,771)",Goose Island Goose IPA,06-Oct-19,2.8,6,3,4,4,11
86,"vladeath(2,183)",Goose Island Goose IPA,05-Oct-19,3.3,6,4,7,3,13
87,"jybi(1,705)",Goose Island Goose IPA,01-Oct-19,4.2,8,5,9,4,16
88,ferjho224(143),Goose Island Goose IPA,30-Sep-19,3.5,7,4,6,4,14
89,FlightExports37(63),Goose Island Goose IPA,30-Sep-19,3.7,7,3,8,4,15
90,LoveDark49(102),Goose Island Goose IPA,29-Sep-19,3,6,3,6,3,12
91,TkmLinus(536),Goose Island Goose IPA,29-Sep-19,3.7,6,4,8,4,15
92,TrappistChief18(24),Goose Island Goose IPA,22-Sep-19,4,8,2,10,5,15
93,lukasz_f(695),Goose Island Goose IPA,17-Sep-19,3.6,7,3,7,3,16
94,fredthecat(527),Goose Island Goose IPA,12-Sep-19,4,8,4,8,4,16
95,"DoctorHU(1,641)",Goose Island Goose IPA,05-Sep-19,3.7,8,2,8,3,16
96,davidfs(598),Goose Island Goose IPA,05-Sep-19,3.7,8,2,8,3,16
97,"hopihalido(1,679)",Goose Island Goose IPA,03-Sep-19,3.8,8,3,8,3,16
99,QuentinM(866),Goose Island Goose IPA,16-Aug-19,3.4,7,3,7,3,14
100,ruslansavostin(78),Goose Island Goose IPA,11-Aug-19,3.7,8,4,7,4,14
103,RONCOD(318),Goose Island Goose IPA,03-Aug-19,3.3,6,3,6,3,15
104,"rafael52(3,266)",Goose Island Goose IPA,31-Jul-19,3.5,7,4,7,3,14
105,k.szczypior.2002(161),Goose Island Goose IPA,26-Jul-19,3.5,7,3,7,4,14
106,"fillepolo(3,145)",Goose Island Goose IPA,26-Jul-19,3.5,7,3,7,3,15
107,roldano(309),Goose Island Goose IPA,26-Jul-19,3.5,6,4,6,4,15
109,ethanharvey(16),Goose Island Goose IPA,20-Jul-19,3.7,7,4,7,4,15
110,"BelgiskOlklub(1,111)",Goose Island Goose IPA,16-Jul-19,3.5,7,3,7,4,14
111,"alteregoo(3,847)",Goose Island Goose IPA,16-Jul-19,2.9,5,4,6,2,12
112,"teddybeer(5,485)",Goose Island Goose IPA,09-Jul-19,3.6,6,3,7,3,17
113,MashChecker33(0),Goose Island Goose IPA,06-Jul-19,4,8,5,7,4,16
114,Diabobale(796),Goose Island Goose IPA,04-Jul-19,3.4,7,3,7,3,14
115,Fishnmusicn(8),Goose Island Goose IPA,29-Jun-19,3.1,5,3,6,3,14
116,HopsMuse124(1),Goose Island Goose IPA,24-Jun-19,5,10,5,10,5,20
117,"simontomlinson(3,782)",Goose Island Goose IPA,24-Jun-19,3.5,7,3,7,3,15
118,"ophone(1,379)",Goose Island Goose IPA,24-Jun-19,4,7,4,8,4,17
119,buddybutch(260),Goose Island Goose IPA,04-Jul-19,3.4,7,3,7,3,14
120,"PhillyCraft(11,737)",Goose Island Goose IPA,20-Jun-19,2.7,6,2,5,3,11
121,"pleispleis(1,019)",Goose Island Goose IPA,17-Jun-19,3.6,6,3,7,4,16
124,MaltOne(575),Goose Island Goose IPA,06-Jun-19,3.2,6,3,6,3,14
125,UriahHeep(272),Goose Island Goose IPA,05-Jun-19,3.2,6,3,6,3,14
128,"jhsnitz1(1,060)",Goose Island Goose IPA,22-Jun-19,2,7,3,3,2,5
129,"hrabren(4,843)",Goose Island Goose IPA,30-May-19,3.2,7,4,6,3,12
130,doricoz(42),Goose Island Goose IPA,25-May-19,3.7,7,4,7,3,16
131,daveols(60),Goose Island Goose IPA,27-May-19,3.9,8,4,7,4,16
132,qwsa(4),Goose Island Goose IPA,20-May-19,3.2,6,4,7,3,12
133,happydaddy(357),Goose Island Goose IPA,26-May-19,2.7,5,3,5,3,11
134,"sharkydodson(4,450)",Goose Island Goose IPA,12-May-19,3.6,8,4,7,3,14
135,graziano85(698),Goose Island Goose IPA,11-May-19,3.5,7,3,7,3,15
136,Kronhjort1996(427),Goose Island Goose IPA,10-May-19,3.6,7,4,8,4,13
137,dhll(353),Goose Island Goose IPA,08-May-19,1.9,4,3,2,2,8
139,"Milter(1,941)",Goose Island Goose IPA,03-May-19,4.2,8,4,8,4,18
140,"Grzesiek79(6,146)",Goose Island Goose IPA,03-May-19,3.8,7,3,8,3,17
141,MeadHopper21(1),Goose Island Goose IPA,24-Apr-19,5,10,5,10,5,20
142,TtV(596),Goose Island Goose IPA,22-Apr-19,3.1,7,3,6,2,13
144,"DocJitsu(2,550)",Goose Island Goose IPA,11-Apr-19,3.2,6,3,6,3,14
145,"Suco(1,142)",Goose Island Goose IPA,10-Apr-19,3.4,6,3,7,3,15
146,GvanGool(266),Goose Island Goose IPA,07-Apr-19,3.9,7,4,8,4,16
147,ibanlabestia(177),Goose Island Goose IPA,05-Apr-19,3.5,6,4,6,4,15
148,wstadejek(107),Goose Island Goose IPA,05-Apr-19,2.2,4,2,4,2,10
149,"chinchill(6,207)",Goose Island Goose IPA,01-Apr-19,3.1,6,3,6,3,13
151,austenpowers72(15),Goose Island Goose IPA,28-Mar-19,4,9,4,8,4,15
152,csbriones(9),Goose Island Goose IPA,25-Mar-19,4.5,9,5,9,4,18
153,"wilzwert(1,003)",Goose Island Goose IPA,23-Mar-19,3.2,7,3,6,3,13
154,draft1963(5),Goose Island Goose IPA,18-Mar-19,4,9,3,9,4,15
155,"Jabah(2,403)",Goose Island Goose IPA,16-Mar-19,3.3,7,3,7,3,13
156,DraftMaestro33(20),Goose Island Goose IPA,12-Nov-19,3,5,3,5,3,14
157,beerwithus(175),Goose Island Goose IPA,10-Mar-19,3.8,7,5,7,4,15
158,Coldonylum(7),Goose Island Goose IPA,09-Mar-19,2,4,2,7,1,6
159,jimmyboy45(10),Goose Island Goose IPA,05-Mar-19,2.8,5,3,5,4,11
160,BrewBroFla(42),Goose Island Goose IPA,25-Feb-19,3.3,7,3,6,3,14
161,ModernChef(200),Goose Island Goose IPA,17-Feb-19,3.5,8,4,7,3,13
162,pytrysek(759),Goose Island Goose IPA,17-Feb-19,3.3,7,3,7,3,13
163,BarrelRates34(9),Goose Island Goose IPA,07-Feb-19,1.4,8,3,1,1,1
164,jdelafuente01(177),Goose Island Goose IPA,27-Jan-19,3.8,7,3,7,4,17
165,pippomix(288),Goose Island Goose IPA,25-Jan-19,3.4,7,3,7,3,14
166,"biilz(1,382)",Goose Island Goose IPA,19-Jan-19,3.4,8,3,7,3,13
167,"ANZUShophunter(1,947)",Goose Island Goose IPA,18-Jan-19,3.3,7,3,7,3,13
168,hednom(214),Goose Island Goose IPA,18-Jan-19,2.9,6,3,6,2,12
169,"dantomlinson(1,455)",Goose Island Goose IPA,18-Jan-19,3.6,7,4,8,3,14
170,JoTheO(627),Goose Island Goose IPA,17-Jan-19,3.2,7,3,6,3,13
171,maurovasquez(6),Goose Island Goose IPA,15-Jan-19,4.5,8,5,9,5,18
172,yaff(390),Goose Island Goose IPA,10-Jan-19,2.9,6,2,6,3,12
173,Zilb(729),Goose Island Goose IPA,08-Jan-19,3.8,8,5,7,3,15
174,LittleShit(235),Goose Island Goose IPA,06-Jan-19,3.1,7,1,7,2,14
175,NobleTeam26(760),Goose Island Goose IPA,06-Jan-19,2.5,5,3,5,3,9
176,BrewSpot(84),Goose Island Goose IPA,01-Jan-19,3.5,8,4,5,3,15
178,"nickel(1,670)",Goose Island Goose IPA,22-Dec-18,3,5,4,6,3,12
179,pierre53(13),Goose Island Goose IPA,26-Dec-18,3.7,8,4,7,4,14
180,MeadMuse101(29),Goose Island Goose IPA,10-Dec-18,1.5,2,3,2,2,6
181,Roy Coffman(7),Goose Island Goose IPA,30-Nov-18,3.4,7,4,7,3,13
182,mlkjhgfdsq(256),Goose Island Goose IPA,28-Nov-18,3.9,8,5,8,3,15
183,blariacum(790),Goose Island Goose IPA,25-Nov-18,3,5,3,6,3,13
184,PintjeFritz(712),Goose Island Goose IPA,23-Nov-18,3.5,7,3,7,3,15
185,benpickens(650),Goose Island Goose IPA,23-Nov-18,3,6,3,6,3,12
186,cormiac(26),Goose Island Goose IPA,21-Nov-18,3.4,7,3,7,3,14
189,YD84(309),Goose Island Goose IPA,31-Dec-18,3.2,6,3,7,3,13
191,"Kita(3,442)",Goose Island Goose IPA,13-Nov-18,3.5,7,4,7,3,14
192,"ClarkVV(8,637)",Goose Island Goose IPA,08-Nov-18,3.3,7,4,7,3,12
193,Malrider69(316),Goose Island Goose IPA,04-Nov-18,2.5,4,3,5,2,11
194,Antonio369(559),Goose Island Goose IPA,01-Nov-18,3.5,7,3,7,3,15
195,tyrannosaurus(12),Goose Island Goose IPA,30-Oct-18,3.3,7,3,7,4,12
196,cglans(533),Goose Island Goose IPA,28-Oct-18,2.8,6,3,6,3,10
197,"DraftPours23(2,293)",Goose Island Goose IPA,25-Oct-18,3.4,7,3,7,2,15
199,cafbrooks(91),Goose Island Goose IPA,18-Oct-18,2.3,4,3,5,3,8
200,"elosop(1,049)",Goose Island Goose IPA,16-Oct-18,3.1,6,3,6,4,12
201,"ricardostercios(1,308)",Goose Island Goose IPA,14-Jan-19,3,5,4,5,4,12
202,bizzard(38),Goose Island Goose IPA,10-Oct-18,3.2,7,3,7,3,12
203,IPAGuide128(310),Goose Island Goose IPA,11-Feb-19,3.1,5,3,6,3,14
204,Smithld1(894),Goose Island Goose IPA,29-Sep-18,2.9,5,4,6,3,11
206,edherndez(0),Goose Island Goose IPA,21-Sep-18,0.9,1,1,3,1,3
207,phfds(128),Goose Island Goose IPA,16-Sep-18,3.7,6,4,7,4,16
208,philipe(136),Goose Island Goose IPA,16-Sep-18,3.9,8,4,8,4,15
209,microbrewologist(657),Goose Island Goose IPA,09-Sep-18,3.1,6,3,5,4,13
210,david_seo(2),Goose Island Goose IPA,09-Sep-18,1.3,2,2,3,2,4
211,spiffero(180),Goose Island Goose IPA,02-Sep-18,3.3,6,3,7,4,13
212,BarrelReports25(5),Goose Island Goose IPA,30-Aug-18,4.1,8,2,8,5,18
213,wicketwarrick(156),Goose Island Goose IPA,30-Aug-18,3.7,8,3,8,3,15
214,linhilens(9),Goose Island Goose IPA,30-Aug-18,3,8,4,5,3,10
215,jrh2254(487),Goose Island Goose IPA,12-Jun-19,3.7,8,4,7,4,14
216,2OLD4BS(771),Goose Island Goose IPA,25-Aug-18,3,6,3,6,3,12
218,"surething_ii(4,333)",Goose Island Goose IPA,18-Aug-18,3.3,6,3,7,4,13
219,"beer-yum(3,484)",Goose Island Goose IPA,16-Aug-18,3.5,8,4,8,4,11
220,Brian78901(3),Goose Island Goose IPA,05-Aug-18,2.5,3,4,4,3,11
221,Fernando Reyes Lozano(56),Goose Island Goose IPA,03-Aug-18,4.3,8,4,8,4,19
222,"DraftDodger(5,082)",Goose Island Goose IPA,28-Jul-18,3.7,7,4,8,3,15
223,Brokkie(785),Goose Island Goose IPA,13-Nov-20,3.9,8,4,9,4,14
224,Almogabar(689),Goose Island Goose IPA,16-Jul-18,3.7,7,4,8,4,14
225,"jarvo(1,281)",Goose Island Goose IPA,11-Jul-18,3.4,7,3,7,3,14
226,"fdomig(1,342)",Goose Island Goose IPA,09-Jul-18,3,7,3,5,3,12
227,"kto(2,973)",Goose Island Goose IPA,30-Jul-18,3.5,7,4,7,4,13
228,NiklasT(443),Goose Island Goose IPA,30-Jun-18,3.2,6,3,5,3,15
229,"heman(2,843)",Goose Island Goose IPA,30-Jun-18,3.7,7,4,7,4,15
230,Ravnstone(432),Goose Island Goose IPA,30-Jun-18,2.9,6,3,6,3,11
231,"GTAEgeek(4,332)",Goose Island Goose IPA,29-Jun-18,3.2,6,3,5,4,14
232,rollinsr(924),Goose Island Goose IPA,22-Jun-18,2.7,5,2,4,3,13
233,the sauger(383),Goose Island Goose IPA,13-Jun-18,3.5,6,4,7,4,14
234,AleMaster18(23),Goose Island Goose IPA,12-Jun-18,3.9,8,4,8,4,15
235,"NordicV(4,005)",Goose Island Goose IPA,09-Jun-18,3.2,6,4,6,3,13
236,gopalnswamy(8),Goose Island Goose IPA,07-Feb-20,3.3,5,4,9,2,13
238,"Maris(2,640)",Goose Island Goose IPA,06-Jun-18,2.9,6,3,6,3,11
239,"zvsn(5,939)",Goose Island Goose IPA,28-May-18,3.4,6,4,7,3,14
240,thebaron99(135),Goose Island Goose IPA,24-May-18,2.8,4,2,6,3,13
241,orbit(875),Goose Island Goose IPA,24-May-18,3.5,5,3,6,4,17
242,agent_persik(955),Goose Island Goose IPA,14-May-18,3.8,7,4,8,4,15
243,"EvNa(2,719)",Goose Island Goose IPA,11-May-18,2.7,5,2,6,3,11
245,"Pimot(1,282)",Goose Island Goose IPA,10-May-18,3.8,7,3,9,3,16
246,tmdaines(668),Goose Island Goose IPA,07-May-18,3.6,7,4,7,4,14
247,"motthes(1,316)",Goose Island Goose IPA,03-May-18,3.4,7,4,7,4,12
248,piwnysnoob(45),Goose Island Goose IPA,30-Apr-18,2.9,5,3,5,4,12
249,cattaneopapa(736),Goose Island Goose IPA,29-Apr-18,3.2,6,3,6,3,14
250,"Trolleo(6,120)",Goose Island Goose IPA,27-Apr-18,3,6,3,6,2,13
251,"Bierridder_S(2,086)",Goose Island Goose IPA,26-Apr-18,4.2,9,4,9,3,17
252,highbeem(2),Goose Island Goose IPA,18-Apr-18,3.5,7,3,7,4,14
253,"17wojownik(1,351)",Goose Island Goose IPA,28-Aug-18,4.3,9,4,8,5,17
254,Baldie(7),Goose Island Goose IPA,12-Apr-18,4.4,8,5,9,4,18
255,"riggsfc61(1,422)",Goose Island Goose IPA,02-Aug-18,2.9,6,3,6,3,11
256,retinadoc(345),Goose Island Goose IPA,06-Apr-18,3.2,7,4,6,3,12
257,"Vells(2,359)",Goose Island Goose IPA,06-Apr-18,3.9,8,4,7,4,16
258,RihardsF(244),Goose Island Goose IPA,06-Apr-18,3.4,6,3,7,3,15
259,TREC1and2(17),Goose Island Goose IPA,24-Mar-18,3.2,7,3,7,3,12
260,"bbbeer(1,337)",Goose Island Goose IPA,24-Mar-18,3.3,6,3,7,4,13
261,martpez(686),Goose Island Goose IPA,24-Mar-18,3.4,8,3,6,3,14
262,GregM05(44),Goose Island Goose IPA,22-Mar-18,3.1,6,3,7,3,12
263,IBURater7(11),Goose Island Goose IPA,22-Mar-18,4.3,10,3,9,4,17
265,thebeerbandit(301),Goose Island Goose IPA,19-Mar-18,4.2,7,4,9,5,17
266,bigben873(379),Goose Island Goose IPA,16-Mar-18,3.6,7,4,7,4,14
267,"Salian(1,308)",Goose Island Goose IPA,15-Mar-18,2.8,5,3,6,2,12
268,defabant(451),Goose Island Goose IPA,13-Mar-18,3.4,6,3,7,3,15
269,"ttppk197(2,870)",Goose Island Goose IPA,12-Mar-18,4,7,4,8,4,17
270,GoddamnNoise(642),Goose Island Goose IPA,12-Mar-18,2.6,4,4,6,3,9
271,EdButterfield(195),Goose Island Goose IPA,10-Mar-18,2,3,2,4,3,8
272,pa34583(149),Goose Island Goose IPA,08-Mar-18,2.1,3,3,5,2,8
273,"Nurmis(1,921)",Goose Island Goose IPA,07-Mar-18,3.3,7,3,8,3,12
274,sam22(9),Goose Island Goose IPA,11-May-18,4.2,8,4,9,5,16
275,Pricey14(6),Goose Island Goose IPA,03-Mar-18,3,6,3,6,3,12
276,vomit(363),Goose Island Goose IPA,27-Feb-18,2.2,5,3,4,3,7
277,"mzaar(5,907)",Goose Island Goose IPA,23-Feb-18,3.1,6,4,6,3,12
279,Rhombic(366),Goose Island Goose IPA,25-Feb-18,3.7,7,3,8,3,16
280,"labeerinthum(5,295)",Goose Island Goose IPA,14-Feb-18,3.3,6,3,6,4,14
281,"BeardedAvenger(4,498)",Goose Island Goose IPA,12-Feb-18,3.5,5,3,7,3,17
282,"NikkTwist(4,832)",Goose Island Goose IPA,08-Feb-18,3,5,3,5,3,14
284,"Raistlin(1,475)",Goose Island Goose IPA,22-Jan-18,2.6,4,2,5,3,12
285,"Skarecrow(1,734)",Goose Island Goose IPA,22-Jan-18,3.4,7,3,7,3,14
286,"wombat23(3,363)",Goose Island Goose IPA,17-Jan-18,3.1,7,3,6,3,12
287,"Bitterbill(2,895)",Goose Island Goose IPA,16-Jan-18,3,5,4,5,3,13
288,Hopper8(309),Goose Island Goose IPA,28-Dec-17,4,8,4,8,5,15
289,Benters(185),Goose Island Goose IPA,26-Dec-17,3.9,8,4,7,4,16
290,cwill(151),Goose Island Goose IPA,26-Dec-17,4.1,8,4,8,4,17
291,"Dervock(1,634)",Goose Island Goose IPA,21-Dec-17,3.5,7,3,7,3,15
292,MaltExports10(1),Goose Island Goose IPA,19-Dec-17,4,7,3,8,4,18
293,beer_fanatique37(6),Goose Island Goose IPA,19-Dec-17,4.3,9,3,9,5,17
294,"Finhead(2,231)",Goose Island Goose IPA,15-Dec-17,3.8,8,3,8,4,15
295,LesArgen(652),Goose Island Goose IPA,12-Dec-17,3.1,6,3,7,2,13
296,Steviejrich(12),Goose Island Goose IPA,10-Dec-17,3.1,6,3,7,3,12
297,MrCrocodile(21),Goose Island Goose IPA,09-Dec-17,3.7,7,4,7,4,15
298,tfielder(3),Goose Island Goose IPA,08-Dec-17,3.6,7,4,8,3,14
299,geolgau(544),Goose Island Goose IPA,07-Dec-17,3.4,6,3,6,3,16
301,CurlyJoe(731),Goose Island Goose IPA,01-Dec-17,3.5,7,3,7,4,14
302,deepdrinker(384),Goose Island Goose IPA,05-Dec-17,3,6,3,6,3,12
303,WBlankenship21(9),Goose Island Goose IPA,19-Nov-17,3.4,5,3,8,3,15
304,Roymullins(64),Goose Island Goose IPA,18-Nov-17,4.3,7,5,9,4,18
305,"Alusmamuts(3,444)",Goose Island Goose IPA,15-Nov-17,3.7,6,5,8,4,14
306,pjotrapostou(472),Goose Island Goose IPA,12-Nov-17,3.4,5,4,6,3,16
307,PubTun3(16),Goose Island Goose IPA,11-Nov-17,4,8,4,8,4,16
308,si_law(31),Goose Island Goose IPA,11-Nov-17,3.5,6,4,7,4,14
309,"Heidbummer(1,935)",Goose Island Goose IPA,11-Nov-17,2.9,5,4,5,4,11
310,"Ritzn(3,777)",Goose Island Goose IPA,10-Nov-17,2.7,7,4,5,3,8
312,"Jyrsa(1,508)",Goose Island Goose IPA,08-Nov-17,3.3,7,4,6,4,12
313,Tezminator(313),Goose Island Goose IPA,07-Nov-17,4,8,3,8,4,17
314,"jinroh(4,531)",Goose Island Goose IPA,06-Nov-17,3.3,7,3,7,3,13
315,massingasetta(967),Goose Island Goose IPA,06-Nov-17,3.5,7,3,7,3,15
316,silva6411(65),Goose Island Goose IPA,06-Nov-17,3.6,8,4,6,3,15
317,"TedE(2,366)",Goose Island Goose IPA,05-Nov-17,3.2,6,3,6,3,14
318,Kurtos(325),Goose Island Goose IPA,04-Nov-17,3.1,7,3,6,3,12
319,NotABeerFan(108),Goose Island Goose IPA,04-Nov-17,4.2,8,4,8,4,18
320,khanja(21),Goose Island Goose IPA,03-Nov-17,1.9,5,1,3,2,8
321,JMVA33(2),Goose Island Goose IPA,31-Oct-17,3.4,5,4,7,3,15
322,steveddy(111),Goose Island Goose IPA,28-Oct-17,2.6,5,3,5,3,10
323,"josanguapo(4,374)",Goose Island Goose IPA,25-Oct-17,3.8,7,4,7,4,16
324,"allmyvinyl(14,418)",Goose Island Goose IPA,23-Oct-17,3.5,7,4,7,3,14
325,"DCLawyer(3,007)",Goose Island Goose IPA,21-Oct-17,2.8,6,3,5,3,11
326,danjs5(413),Goose Island Goose IPA,21-Oct-17,3.1,6,3,6,3,13
327,"Piepenhenrich(2,598)",Goose Island Goose IPA,21-Oct-17,3,7,3,7,3,10
328,konungen(657),Goose Island Goose IPA,12-Oct-17,3.2,6,3,6,3,14
329,"macca147(1,839)",Goose Island Goose IPA,16-Oct-18,3.4,6,4,6,4,14
330,sephyrott(677),Goose Island Goose IPA,06-Oct-17,4.1,7,4,9,5,16
331,"ALLOVATE(3,559)",Goose Island Goose IPA,06-Oct-17,2.2,5,2,4,2,9
332,Alex60(972),Goose Island Goose IPA,05-Oct-17,3.1,6,3,6,3,13
333,cryptopathic(6),Goose Island Goose IPA,02-Oct-17,3.8,7,4,8,4,15
334,ehaak26(837),Goose Island Goose IPA,02-Oct-17,3,6,3,6,3,12
335,Frank_E(1),Goose Island Goose IPA,25-Sep-17,3.6,8,4,6,4,14
338,"Pyobon(2,191)",Goose Island Goose IPA,13-Sep-17,3.5,7,4,7,3,14
340,p0urmeac0ld0ne(791),Goose Island Goose IPA,09-Sep-17,3.6,6,5,6,5,14
341,"balloonbuffoon(1,125)",Goose Island Goose IPA,07-Sep-17,3,6,4,6,3,11
343,"SimonBlok(1,718)",Goose Island Goose IPA,05-Sep-17,3.3,7,3,7,3,13
345,davedrinkinbeer(31),Goose Island Goose IPA,03-Sep-17,3.9,7,4,8,4,16
347,"VsXsV(5,001)",Goose Island Goose IPA,30-Aug-17,3.3,6,4,6,3,14
348,"danielyabu(2,189)",Goose Island Goose IPA,28-Aug-17,3.5,7,3,7,4,14
350,leasureman(1),Goose Island Goose IPA,26-Aug-17,3.8,6,5,6,5,16
351,"Mister_Li(2,639)",Goose Island Goose IPA,23-Aug-17,3.3,6,3,7,4,13
352,"martjoobolut(9,739)",Goose Island Goose IPA,20-Aug-17,3.7,7,3,8,4,15
353,"wilde_joost59(1,223)",Goose Island Goose IPA,17-Aug-17,3.7,7,3,8,3,16
