,아이디,맥주이름,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
140,"Grzesiek79(6,146)",Goose Island Goose IPA,03-May-19,3.8,7,3,8,3,17
145,"Suco(1,142)",Goose Island Goose IPA,10-Apr-19,3.4,6,3,7,3,15
149,"chinchill(6,207)",Goose Island Goose IPA,01-Apr-19,3.1,6,3,6,3,13
155,"Jabah(2,403)",Goose Island Goose IPA,16-Mar-19,3.3,7,3,7,3,13
166,"biilz(1,382)",Goose Island Goose IPA,19-Jan-19,3.4,8,3,7,3,13
167,"ANZUShophunter(1,947)",Goose Island Goose IPA,18-Jan-19,3.3,7,3,7,3,13
169,"dantomlinson(1,455)",Goose Island Goose IPA,18-Jan-19,3.6,7,4,8,3,14
173,Zilb(729),Goose Island Goose IPA,08-Jan-19,3.8,8,5,7,3,15
175,NobleTeam26(760),Goose Island Goose IPA,06-Jan-19,2.5,5,3,5,3,9
183,blariacum(790),Goose Island Goose IPA,25-Nov-18,3.0,5,3,6,3,13
184,PintjeFritz(712),Goose Island Goose IPA,23-Nov-18,3.5,7,3,7,3,15
191,"Kita(3,442)",Goose Island Goose IPA,13-Nov-18,3.5,7,4,7,3,14
192,"ClarkVV(8,637)",Goose Island Goose IPA,08-Nov-18,3.3,7,4,7,3,12
197,"DraftPours23(2,293)",Goose Island Goose IPA,25-Oct-18,3.4,7,3,7,2,15
200,"elosop(1,049)",Goose Island Goose IPA,16-Oct-18,3.1,6,3,6,4,12
201,"ricardostercios(1,308)",Goose Island Goose IPA,14-Jan-19,3.0,5,4,5,4,12
218,"surething_ii(4,333)",Goose Island Goose IPA,18-Aug-18,3.3,6,3,7,4,13
222,"DraftDodger(5,082)",Goose Island Goose IPA,28-Jul-18,3.7,7,4,8,3,15
223,Brokkie(785),Goose Island Goose IPA,13-Nov-20,3.9,8,4,9,4,14
226,"fdomig(1,342)",Goose Island Goose IPA,09-Jul-18,3.0,7,3,5,3,12
227,"kto(2,973)",Goose Island Goose IPA,30-Jul-18,3.5,7,4,7,4,13
235,"NordicV(4,005)",Goose Island Goose IPA,09-Jun-18,3.2,6,4,6,3,13
239,"zvsn(5,939)",Goose Island Goose IPA,28-May-18,3.4,6,4,7,3,14
240,thebaron99(135),Goose Island Goose IPA,24-May-18,2.8,4,2,6,3,13
246,tmdaines(668),Goose Island Goose IPA,07-May-18,3.6,7,4,7,4,14
247,"motthes(1,316)",Goose Island Goose IPA,03-May-18,3.4,7,4,7,4,12
249,cattaneopapa(736),Goose Island Goose IPA,29-Apr-18,3.2,6,3,6,3,14
250,"Trolleo(6,120)",Goose Island Goose IPA,27-Apr-18,3.0,6,3,6,2,13
253,"17wojownik(1,351)",Goose Island Goose IPA,28-Aug-18,4.3,9,4,8,5,17
256,retinadoc(345),Goose Island Goose IPA,06-Apr-18,3.2,7,4,6,3,12
257,"Vells(2,359)",Goose Island Goose IPA,06-Apr-18,3.9,8,4,7,4,16
267,"Salian(1,308)",Goose Island Goose IPA,15-Mar-18,2.8,5,3,6,2,12
268,defabant(451),Goose Island Goose IPA,13-Mar-18,3.4,6,3,7,3,15
269,"ttppk197(2,870)",Goose Island Goose IPA,12-Mar-18,4.0,7,4,8,4,17
273,"Nurmis(1,921)",Goose Island Goose IPA,07-Mar-18,3.3,7,3,8,3,12
277,"mzaar(5,907)",Goose Island Goose IPA,23-Feb-18,3.1,6,4,6,3,12
279,Rhombic(366),Goose Island Goose IPA,25-Feb-18,3.7,7,3,8,3,16
280,"labeerinthum(5,295)",Goose Island Goose IPA,14-Feb-18,3.3,6,3,6,4,14
281,"BeardedAvenger(4,498)",Goose Island Goose IPA,12-Feb-18,3.5,5,3,7,3,17
284,"Raistlin(1,475)",Goose Island Goose IPA,22-Jan-18,2.6,4,2,5,3,12
285,"Skarecrow(1,734)",Goose Island Goose IPA,22-Jan-18,3.4,7,3,7,3,14
286,"wombat23(3,363)",Goose Island Goose IPA,17-Jan-18,3.1,7,3,6,3,12
287,"Bitterbill(2,895)",Goose Island Goose IPA,16-Jan-18,3.0,5,4,5,3,13
291,"Dervock(1,634)",Goose Island Goose IPA,21-Dec-17,3.5,7,3,7,3,15
302,deepdrinker(384),Goose Island Goose IPA,05-Dec-17,3.0,6,3,6,3,12
310,"Ritzn(3,777)",Goose Island Goose IPA,10-Nov-17,2.7,7,4,5,3,8
313,Tezminator(313),Goose Island Goose IPA,07-Nov-17,4.0,8,3,8,4,17
315,massingasetta(967),Goose Island Goose IPA,06-Nov-17,3.5,7,3,7,3,15
317,"TedE(2,366)",Goose Island Goose IPA,05-Nov-17,3.2,6,3,6,3,14
318,Kurtos(325),Goose Island Goose IPA,04-Nov-17,3.1,7,3,6,3,12
323,"josanguapo(4,374)",Goose Island Goose IPA,25-Oct-17,3.8,7,4,7,4,16
325,"DCLawyer(3,007)",Goose Island Goose IPA,21-Oct-17,2.8,6,3,5,3,11
327,"Piepenhenrich(2,598)",Goose Island Goose IPA,21-Oct-17,3.0,7,3,7,3,10
329,"macca147(1,839)",Goose Island Goose IPA,16-Oct-18,3.4,6,4,6,4,14
330,sephyrott(677),Goose Island Goose IPA,06-Oct-17,4.1,7,4,9,5,16
331,"ALLOVATE(3,559)",Goose Island Goose IPA,06-Oct-17,2.2,5,2,4,2,9
338,"Pyobon(2,191)",Goose Island Goose IPA,13-Sep-17,3.5,7,4,7,3,14
340,p0urmeac0ld0ne(791),Goose Island Goose IPA,09-Sep-17,3.6,6,5,6,5,14
348,"danielyabu(2,189)",Goose Island Goose IPA,28-Aug-17,3.5,7,3,7,4,14
351,"Mister_Li(2,639)",Goose Island Goose IPA,23-Aug-17,3.3,6,3,7,4,13
352,"martjoobolut(9,739)",Goose Island Goose IPA,20-Aug-17,3.7,7,3,8,4,15
353,"wilde_joost59(1,223)",Goose Island Goose IPA,17-Aug-17,3.7,7,3,8,3,16
356,coil(649),Goose Island Goose IPA,07-Aug-17,3.5,7,4,7,3,14
357,"nathanvc(3,596)",Goose Island Goose IPA,07-Aug-17,3.2,7,2,7,2,14
359,"dutchdarthvader(1,713)",Goose Island Goose IPA,23-Jul-19,3.2,7,3,6,2,14
361,"loscovar(1,399)",Goose Island Goose IPA,15-Jun-18,2.7,5,3,5,3,11
362,"sebsky(1,293)",Goose Island Goose IPA,22-Jul-17,2.9,4,4,6,3,12
365,"mauritsio(1,067)",Goose Island Goose IPA,20-Jul-17,4.0,8,4,8,4,16
370,"hershiser2(7,093)",Goose Island Goose IPA,14-Jul-17,2.0,3,3,4,3,7
374,"azzurro(1,764)",Goose Island Goose IPA,30-Jun-17,3.5,7,3,7,3,15
378,"freekyp(3,691)",Goose Island Goose IPA,22-Jun-17,3.9,8,4,8,3,16
380,stupre(538),Goose Island Goose IPA,16-Jun-17,3.5,7,4,7,4,13
383,"Fisler(1,984)",Goose Island Goose IPA,08-Jun-17,3.5,7,3,6,3,16
387,jooilakon(931),Goose Island Goose IPA,02-Jun-17,3.4,7,4,6,4,13
389,Panzerfaust(902),Goose Island Goose IPA,13-May-17,3.4,7,3,7,4,13
392,Davros IX(895),Goose Island Goose IPA,04-May-17,3.1,8,3,6,4,10
395,"WillemsUrenkel(3,640)",Goose Island Goose IPA,26-Apr-17,3.4,7,3,6,4,14
396,"thejackpacker(2,101)",Goose Island Goose IPA,24-Apr-17,3.7,7,3,7,4,16
399,"FatPhil(21,860)",Goose Island Goose IPA,29-Mar-17,2.6,6,3,5,2,10
410,ZxWx(208),Goose Island Goose IPA,10-Mar-17,3.1,7,3,6,3,12
415,Pershing(748),Goose Island Goose IPA,27-Feb-17,3.7,6,4,7,4,16
418,"Wendigo(3,750)",Goose Island Goose IPA,26-Feb-17,3.4,7,3,6,3,15
420,radassace(910),Goose Island Goose IPA,18-Feb-17,3.6,7,3,8,4,14
422,Daytona00(187),Goose Island Goose IPA,12-Feb-17,3.6,6,4,7,3,16
426,"phfyysik(2,441)",Goose Island Goose IPA,06-Feb-17,3.5,7,3,7,3,15
427,wolfcarnival(288),Goose Island Goose IPA,05-Feb-17,3.4,6,3,6,3,16
429,Rex_Remes(590),Goose Island Goose IPA,29-Sep-17,3.7,7,4,7,4,15
431,MrW(866),Goose Island Goose IPA,17-Jan-17,3.6,8,3,7,3,15
433,"dogbomb(1,307)",Goose Island Goose IPA,11-Jan-17,4.4,9,4,9,4,18
439,"ffaoe(1,533)",Goose Island Goose IPA,28-Dec-16,3.5,6,4,6,4,15
441,jzi(314),Goose Island Goose IPA,27-Dec-16,3.6,7,4,6,4,15
443,"StevieT(2,007)",Goose Island Goose IPA,10-Dec-16,3.7,7,3,8,3,16
446,"Michael27(2,439)",Goose Island Goose IPA,26-Nov-16,2.3,2,3,5,3,10
447,"vinivini(6,679)",Goose Island Goose IPA,24-Nov-16,3.5,7,4,7,4,13
455,"Silvan7(1,385)",Goose Island Goose IPA,08-Nov-16,3.7,8,4,8,3,14
456,"biir(2,879)",Goose Island Goose IPA,07-Nov-16,3.2,7,3,7,3,12
458,Westkyoto77(647),Goose Island Goose IPA,04-Nov-16,3.7,7,4,7,4,15
459,"Sven1973(1,358)",Goose Island Goose IPA,31-Oct-16,4.2,9,3,9,3,18
460,juvedp(76),Goose Island Goose IPA,29-Oct-16,3.4,6,4,6,4,14
462,"Quick3Beers(2,450)",Goose Island Goose IPA,27-Oct-16,2.6,6,3,5,2,10
463,"after4ever(8,025)",Goose Island Goose IPA,25-Oct-16,3.2,6,4,6,4,12
465,"PugUglyBrewer(1,038)",Goose Island Goose IPA,21-Oct-16,4.2,8,5,8,4,17
467,"klm1(2,685)",Goose Island Goose IPA,08-Feb-17,3.5,6,4,7,4,14
470,"GenDV138(9,212)",Goose Island Goose IPA,01-Oct-16,3.6,7,4,7,4,14
471,"Nekronos(4,628)",Goose Island Goose IPA,29-Sep-16,3.4,6,3,6,3,16
474,psilosophy(861),Goose Island Goose IPA,24-Sep-16,3.6,7,4,7,4,14
475,"Crockett(1,164)",Goose Island Goose IPA,23-Sep-16,3.5,7,4,7,4,13
481,"MisoW(5,406)",Goose Island Goose IPA,19-Sep-16,4.0,7,4,8,4,17
482,"cagou007(1,298)",Goose Island Goose IPA,18-Sep-16,3.6,8,3,7,3,15
486,"Ysok02(3,233)",Goose Island Goose IPA,14-Sep-16,3.6,7,4,7,4,14
488,Bierdimpfe(640),Goose Island Goose IPA,09-Sep-16,3.7,5,3,8,4,17
490,"ebone1988(2,504)",Goose Island Goose IPA,05-Sep-16,3.2,6,4,5,4,13
498,Kosmokrator(849),Goose Island Goose IPA,22-Aug-16,4.0,8,4,8,4,16
499,"andrepintado(4,000)",Goose Island Goose IPA,14-Aug-16,3.8,8,3,8,4,15
500,"mice(2,153)",Goose Island Goose IPA,09-Aug-16,3.6,7,4,7,3,15
501,"explosivedog(6,753)",Goose Island Goose IPA,07-Aug-16,3.9,7,3,9,4,16
503,"Scrumpy369(1,462)",Goose Island Goose IPA,29-Jul-16,3.8,8,5,7,4,14
504,"17Beer(1,413)",Goose Island Goose IPA,28-Jul-16,3.1,5,3,5,3,15
505,"Rubin77(6,675)",Goose Island Goose IPA,24-Jul-16,3.7,7,4,7,4,15
509,andriesradu(689),Goose Island Goose IPA,22-Jul-16,3.7,7,3,7,4,16
513,"MrBeerFanatic(1,306)",Goose Island Goose IPA,04-Jul-16,3.4,7,3,8,3,13
522,ChewyBeer(562),Goose Island Goose IPA,28-May-16,3.5,7,5,7,4,12
525,"Cristobal37(2,217)",Goose Island Goose IPA,26-May-16,3.3,6,3,7,3,14
527,"Linnet(2,246)",Goose Island Goose IPA,24-May-16,3.3,7,3,6,3,14
529,"stantheman(1,929)",Goose Island Goose IPA,18-Apr-20,3.7,6,5,7,5,14
534,"ianwelby(2,847)",Goose Island Goose IPA,02-May-16,3.4,7,4,7,3,13
536,"Hopverdju(4,035)",Goose Island Goose IPA,30-Apr-16,3.1,5,3,7,3,13
540,"kapusil(2,081)",Goose Island Goose IPA,17-Apr-16,3.8,7,4,7,4,16
541,"Lore(4,697)",Goose Island Goose IPA,17-Apr-16,4.2,9,4,8,4,17
542,"fordest(2,469)",Goose Island Goose IPA,17-Apr-16,3.6,7,3,7,3,16
543,"jsporrer(1,758)",Goose Island Goose IPA,17-Apr-16,3.5,5,3,7,3,17
546,swiseman(638),Goose Island Goose IPA,15-Apr-16,3.1,8,4,5,2,12
549,"GoufCustom(3,015)",Goose Island Goose IPA,09-Apr-16,3.1,6,3,7,3,12
550,"Hoppy_Luke(2,475)",Goose Island Goose IPA,30-Mar-16,4.3,8,4,9,4,18
551,"finol(4,052)",Goose Island Goose IPA,29-Mar-16,3.2,7,3,6,3,13
552,"Bijl(1,430)",Goose Island Goose IPA,25-Mar-16,3.8,8,4,8,3,15
554,"eduardovl(1,820)",Goose Island Goose IPA,20-Mar-16,3.8,7,3,8,4,16
560,hamilton_w(347),Goose Island Goose IPA,08-Mar-16,3.4,7,3,8,4,12
561,"LazyPyro(5,591)",Goose Island Goose IPA,08-Mar-16,3.1,5,3,6,3,14
563,"msbernac(4,149)",Goose Island Goose IPA,02-Mar-16,3.7,7,4,7,4,15
564,"Itzjerm(3,804)",Goose Island Goose IPA,29-Feb-16,3.4,6,3,6,4,15
565,"MarcinG(2,983)",Goose Island Goose IPA,28-Feb-16,3.5,6,4,6,4,15
570,"JefVerstraete(5,782)",Goose Island Goose IPA,19-Feb-16,3.5,7,3,7,4,14
571,ChicagoJ(639),Goose Island Goose IPA,17-Feb-16,3.4,6,3,7,4,14
579,"ozzy70(2,809)",Goose Island Goose IPA,02-Feb-16,3.0,6,3,6,4,11
581,lokis333(942),Goose Island Goose IPA,31-Jan-16,3.6,7,4,7,4,14
587,"VamboladeTolly(2,253)",Goose Island Goose IPA,20-Jan-16,3.6,7,4,7,4,14
588,Daanminator(476),Goose Island Goose IPA,19-Jan-16,3.0,7,3,7,3,10
589,"bunget(1,251)",Goose Island Goose IPA,19-Jan-16,3.4,8,3,6,3,14
594,BenWesthof(196),Goose Island Goose IPA,02-Jan-16,2.7,6,3,7,3,8
597,OnTheTrail(955),Goose Island Goose IPA,02-Jan-16,3.8,7,3,9,3,16
604,nazbion(302),Goose Island Goose IPA,22-Dec-15,3.5,6,4,7,4,14
605,"Cimbasso(1,784)",Goose Island Goose IPA,07-Nov-16,3.6,6,4,8,4,14
609,"sjogro(9,251)",Goose Island Goose IPA,09-Dec-15,3.6,8,3,8,3,14
610,"Yves(3,869)",Goose Island Goose IPA,04-Dec-15,2.8,7,3,5,3,10
611,"wxman(2,026)",Goose Island Goose IPA,30-Nov-15,3.3,6,4,6,4,13
613,"vadie(1,326)",Goose Island Goose IPA,23-Nov-15,3.4,6,3,7,4,14
615,"bpar73(1,544)",Goose Island Goose IPA,20-Nov-15,3.6,7,4,7,4,14
616,"IrishBoy(4,478)",Goose Island Goose IPA,19-Nov-15,2.7,5,2,6,3,11
617,"TychoJames(3,076)",Goose Island Goose IPA,17-Nov-15,3.0,6,3,6,3,12
628,daniel0017(488),Goose Island Goose IPA,31-Oct-15,3.8,9,4,8,3,14
633,"AlainG(3,049)",Goose Island Goose IPA,22-Oct-15,3.2,6,3,7,3,13
635,"mabuzzer(1,686)",Goose Island Goose IPA,18-Oct-15,3.5,6,4,7,4,14
638,MRMedellin(394),Goose Island Goose IPA,12-Oct-15,2.8,7,3,5,3,10
641,"johnnnniee(6,128)",Goose Island Goose IPA,11-Oct-15,3.7,7,4,7,4,15
644,GSAP(828),Goose Island Goose IPA,04-Oct-15,3.2,6,3,7,3,13
648,"Spab(7,527)",Goose Island Goose IPA,25-Sep-15,3.4,7,3,7,3,14
653,"Viper666.Qc(10,518)",Goose Island Goose IPA,22-Sep-15,3.6,7,3,7,4,15
654,"reebtogi(6,488)",Goose Island Goose IPA,22-Sep-15,3.4,6,4,7,3,14
657,ILduce(285),Goose Island Goose IPA,20-Sep-15,3.1,6,3,6,4,12
660,"gyhallmanti(1,292)",Goose Island Goose IPA,19-Sep-15,3.2,6,5,6,4,11
666,"commonmac(1,992)",Goose Island Goose IPA,14-Sep-15,3.1,7,3,6,3,12
667,mauroruellas(900),Goose Island Goose IPA,12-Sep-15,4.0,8,4,8,4,16
670,"Cunningham(11,610)",Goose Island Goose IPA,11-Sep-15,3.6,7,4,7,4,14
671,Alexi91(437),Goose Island Goose IPA,10-Sep-15,3.3,7,3,6,4,13
677,"Metalchopz(5,420)",Goose Island Goose IPA,03-Sep-15,3.1,7,3,6,3,12
678,"Zlotta(7,216)",Goose Island Goose IPA,01-Sep-15,3.5,7,4,7,3,14
682,"Aggiebob(3,138)",Goose Island Goose IPA,29-Jul-17,3.7,5,5,6,5,16
688,"stevoj(11,194)",Goose Island Goose IPA,22-Aug-15,2.7,6,2,6,2,11
692,"neur0(1,574)",Goose Island Goose IPA,01-Sep-15,3.5,8,4,6,4,13
693,"Sammer(1,119)",Goose Island Goose IPA,12-Aug-15,3.5,8,4,8,4,11
697,Vestlake(279),Goose Island Goose IPA,09-Aug-15,3.9,7,4,8,4,16
698,"Ferris(23,110)",Goose Island Goose IPA,04-Aug-15,3.6,7,4,7,3,15
703,"Strangebrewer(1,837)",Goose Island Goose IPA,01-Aug-15,3.9,8,4,7,4,16
708,"lesifflebiere(1,926)",Goose Island Goose IPA,27-Jul-15,3.9,8,3,9,3,16
710,"bonkiedeaap(1,352)",Goose Island Goose IPA,25-Jul-15,3.8,8,4,8,3,15
713,"peponi(2,409)",Goose Island Goose IPA,24-Jul-15,2.6,5,4,5,4,8
714,"VertBaconStrips(2,445)",Goose Island Goose IPA,23-Jul-15,2.9,5,4,6,3,11
715,"tightslice(2,538)",Goose Island Goose IPA,22-Jul-15,3.2,5,4,5,4,14
719,"tom10101(6,528)",Goose Island Goose IPA,18-Jul-15,3.4,7,3,7,3,14
721,Hamirubi(635),Goose Island Goose IPA,12-Aug-16,3.7,8,3,8,4,14
723,"Mark_Eck(2,000)",Goose Island Goose IPA,10-Jul-15,3.1,7,3,5,3,13
724,"pintbypint(4,303)",Goose Island Goose IPA,09-Jul-15,3.6,7,4,7,3,15
725,"cmacklin(2,843)",Goose Island Goose IPA,08-Jul-15,3.6,7,4,7,4,14
726,"ametras(2,896)",Goose Island Goose IPA,06-Jul-15,3.1,6,3,6,3,13
731,"Grumbo(13,093)",Goose Island Goose IPA,26-Jun-15,3.7,8,4,8,3,14
732,Larry_Duffman(963),Goose Island Goose IPA,06-Dec-15,3.3,6,4,6,3,14
733,"geologyguy(2,301)",Goose Island Goose IPA,12-Jul-16,2.8,5,2,6,3,12
734,"goozen(4,894)",Goose Island Goose IPA,24-Jun-15,3.5,5,4,7,4,15
745,"DeanF(8,320)",Goose Island Goose IPA,14-Jun-15,2.5,6,3,5,2,9
746,"BuckeyeBoy(13,957)",Goose Island Goose IPA,13-Jun-15,2.6,4,3,3,3,13
749,McSherman(759),Goose Island Goose IPA,10-Jun-15,3.7,8,4,7,3,15
751,RhetoricalAns(939),Goose Island Goose IPA,09-Jun-15,3.3,6,4,7,3,13
754,"rikstar(2,604)",Goose Island Goose IPA,08-Jun-15,3.6,7,3,7,4,15
762,"superspak(9,600)",Goose Island Goose IPA,03-Jun-15,3.9,7,4,8,4,16
763,"ruigo(3,079)",Goose Island Goose IPA,02-Jun-15,3.5,8,3,8,3,13
764,"Lagerboy(2,388)",Goose Island Goose IPA,01-Jun-15,3.9,8,3,8,4,16
778,"robinvboyer(6,301)",Goose Island Goose IPA,15-May-15,3.3,6,4,6,4,13
784,"Franksv6(1,328)",Goose Island Goose IPA,11-May-15,3.6,7,4,7,3,15
785,"mutz(1,600)",Goose Island Goose IPA,11-May-15,3.8,8,4,8,3,15
789,"Gethinbeer(2,451)",Goose Island Goose IPA,09-May-15,3.4,6,5,6,4,13
790,MMR(830),Goose Island Goose IPA,08-May-15,2.9,6,3,7,3,10
791,BrewGoblin(632),Goose Island Goose IPA,07-May-15,3.8,8,4,7,4,15
792,"csaso(2,372)",Goose Island Goose IPA,06-May-15,3.6,7,3,7,4,15
793,"Holmen2(6,933)",Goose Island Goose IPA,06-May-15,3.7,7,4,7,4,15
796,"MrHangover(4,693)",Goose Island Goose IPA,04-May-15,3.4,7,4,7,4,12
797,"Gangstergafje(2,562)",Goose Island Goose IPA,06-May-17,4.0,8,4,7,4,17
798,aumentm(451),Goose Island Goose IPA,02-May-15,3.7,8,4,6,4,15
799,"Gary(2,114)",Goose Island Goose IPA,01-May-15,3.6,8,4,7,3,14
802,"Stuu666(23,366)",Goose Island Goose IPA,30-Apr-15,2.7,6,3,5,2,11
805,"dutchbeerpages(2,438)",Goose Island Goose IPA,26-Apr-15,3.2,7,3,6,3,13
807,"blackisle(4,240)",Goose Island Goose IPA,25-Apr-15,3.7,9,4,8,4,12
808,"weihenweizen(6,126)",Goose Island Goose IPA,25-Apr-15,3.1,6,3,7,2,13
809,"Whatup14(3,399)",Goose Island Goose IPA,24-Apr-15,3.2,6,3,7,2,14
811,"Sjohnh(1,060)",Goose Island Goose IPA,23-Apr-15,3.3,7,3,7,3,13
816,"Ed5388(3,488)",Goose Island Goose IPA,18-Apr-15,3.4,6,4,7,3,14
817,"czar(12,954)",Goose Island Goose IPA,17-Apr-15,3.3,6,4,7,3,13
819,"adasko(2,233)",Goose Island Goose IPA,16-Apr-15,3.9,8,5,6,4,16
827,"mathieuc(3,997)",Goose Island Goose IPA,10-Apr-15,3.4,7,4,7,3,13
831,"note666(1,472)",Goose Island Goose IPA,08-Apr-15,2.9,6,3,5,3,12
833,"MarcoDL(8,063)",Goose Island Goose IPA,06-Apr-15,2.9,6,3,6,2,12
835,"Cybercat(9,762)",Goose Island Goose IPA,04-Apr-15,3.1,6,3,7,3,12
836,"jrodooo5(2,335)",Goose Island Goose IPA,04-Apr-15,3.7,7,4,8,4,14
838,"drfabulous(13,549)",Goose Island Goose IPA,03-Apr-15,3.5,6,3,6,3,17
840,"rdixon77(3,705)",Goose Island Goose IPA,27-Sep-18,3.2,6,3,6,4,13
841,"ljthiessen(1,731)",Goose Island Goose IPA,02-Apr-15,3.6,7,4,7,4,14
842,"77ships(14,200)",Goose Island Goose IPA,02-Apr-15,4.3,9,4,8,4,18
843,"MaartenRF10(1,956)",Goose Island Goose IPA,02-Apr-15,4.2,9,5,9,4,15
845,"DJoer(1,291)",Goose Island Goose IPA,30-Mar-15,3.4,7,4,7,4,12
847,"raymow(2,693)",Goose Island Goose IPA,29-Mar-15,3.9,8,4,7,3,17
849,"Wim(5,480)",Goose Island Goose IPA,28-Mar-15,3.3,7,3,7,3,13
850,"blutt59(6,819)",Goose Island Goose IPA,27-Mar-15,2.9,7,3,6,2,11
852,"Bosbouw(3,409)",Goose Island Goose IPA,26-Mar-15,3.7,7,3,8,4,15
855,"Martinus(5,017)",Goose Island Goose IPA,26-Mar-15,3.6,8,3,7,3,15
856,"Abio(1,865)",Goose Island Goose IPA,25-Mar-15,3.9,8,4,7,4,16
857,"beer_rookie(1,080)",Goose Island Goose IPA,24-Mar-15,3.4,6,3,7,3,15
859,"tricksta_p(9,606)",Goose Island Goose IPA,11-Mar-19,3.3,6,3,7,3,14
860,"OllieBBommel(1,529)",Goose Island Goose IPA,22-Mar-15,3.6,7,3,8,3,15
861,"DwarfeD(3,500)",Goose Island Goose IPA,22-Mar-15,3.5,7,3,7,3,15
864,"RW80(3,114)",Goose Island Goose IPA,21-Mar-15,3.5,7,4,7,3,14
865,"Christos(6,100)",Goose Island Goose IPA,21-Mar-15,3.7,7,3,7,3,17
866,"DutchDrebus(6,999)",Goose Island Goose IPA,21-Mar-15,4.2,8,4,9,4,17
868,"SimplySike(1,575)",Goose Island Goose IPA,20-Mar-15,3.7,7,4,7,4,15
869,"Icedwarf(3,247)",Goose Island Goose IPA,19-Mar-15,3.6,6,4,7,4,15
871,"ShivanDragon(6,884)",Goose Island Goose IPA,19-Mar-15,3.3,7,4,6,3,13
874,"willisread(6,518)",Goose Island Goose IPA,17-Mar-15,3.5,8,3,7,3,14
875,"SVD(4,178)",Goose Island Goose IPA,16-Mar-15,3.6,7,3,7,3,16
876,"thanatosti(3,246)",Goose Island Goose IPA,16-Mar-15,3.3,7,3,6,3,14
878,"nihtila(5,179)",Goose Island Goose IPA,12-Dec-15,3.5,6,4,7,4,14
879,"mjik83(3,096)",Goose Island Goose IPA,14-Mar-15,3.4,7,3,6,3,15
882,"markextrae(4,791)",Goose Island Goose IPA,14-Mar-15,3.0,5,3,5,2,15
884,"MonsterMagnet(1,952)",Goose Island Goose IPA,30-Oct-15,3.3,7,3,7,3,13
